Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3733       600        0          311        0.16
structure_refs      4515       1174       0          100        0.26
biomes              4515       109797     0          1086       24.32
terrain             4515       11855      0          83         2.63
surface             4515       3889       0          31         0.86
air_carvers         4515       3699       0          53         0.82
fluid_carvers       4515       93         0          8          0.02
decoration          4519       45934      0          2101       10.16
mob_spawns          4548       949        0          90         0.21
structure_searches  0          0          0          0          0.00
Sum                                                             39.44
